date,open,close,high,low,vol,pct_chg
2025-11-06,2.86,2.81,2.88,2.8,270440.8,-1.75
2025-11-07,2.82,2.8,2.83,2.79,218813.02,-0.36
2025-11-10,2.81,2.84,2.91,2.78,353508.0,1.43
2025-11-11,2.86,2.88,2.89,2.83,311470.0,1.41
2025-11-12,2.88,2.89,2.9,2.83,252295.41,0.35
2025-11-13,2.89,2.99,3.03,2.84,758164.9,3.46
2025-11-14,2.97,3.09,3.21,2.96,999336.74,3.34
2025-11-17,3.05,3.04,3.09,3.02,506326.52,-1.62
2025-11-18,3.04,2.95,3.04,2.92,407383.53,-2.96
2025-11-19,2.96,2.86,2.96,2.85,318183.62,-3.05
2025-11-20,2.88,2.85,2.89,2.82,220840.5,-0.35
2025-11-21,2.83,2.71,2.87,2.71,375504.25,-4.91
2025-11-24,2.75,2.74,2.76,2.71,194672.0,1.11
2025-11-25,2.76,2.75,2.77,2.73,176641.02,0.36
2025-11-26,2.73,2.76,2.82,2.73,193832.1,0.36
2025-11-27,2.76,2.9,3.04,2.73,907396.1,5.07
2025-11-28,2.85,2.94,2.97,2.77,753618.2,1.38
2025-12-01,3.04,3.07,3.15,2.94,1081418.33,4.42
2025-12-02,3.04,3.12,3.15,3.04,786146.1,1.63
2025-12-03,3.12,3.17,3.31,3.07,875708.01,1.6
2025-12-04,3.15,3.04,3.16,3.03,666106.01,-4.1
2025-12-05,3.04,3.22,3.25,3.01,704218.45,5.92
2025-12-08,3.22,3.23,3.28,3.17,639230.84,0.31
2025-12-09,3.24,3.26,3.31,3.22,539392.7,0.93
2025-12-10,3.27,3.28,3.31,3.17,655885.5,0.61
2025-12-11,3.28,3.25,3.31,3.18,441220.72,-0.91
2025-12-12,3.23,3.33,3.41,3.22,579693.31,2.46
2025-12-15,3.33,3.27,3.33,3.26,355745.0,-1.8
2025-12-16,3.27,3.21,3.27,3.19,338908.71,-1.83
2025-12-17,3.21,3.22,3.24,3.15,360118.71,0.31
2025-12-18,3.23,3.21,3.29,3.19,263046.0,-0.31
2025-12-19,3.22,3.25,3.26,3.18,240164.3,1.25
2025-12-22,3.24,3.23,3.26,3.17,212421.0,-0.62
2025-12-23,3.23,3.08,3.24,3.07,460093.46,-4.64
2025-12-24,3.08,3.1,3.16,3.06,275003.37,0.65
2025-12-25,3.11,3.21,3.24,3.08,360231.21,3.55
2025-12-26,3.22,3.53,3.53,3.19,714784.81,9.97
2025-12-29,3.54,3.88,3.88,3.54,1041564.43,9.92
2025-12-30,3.98,3.9,4.17,3.78,2199107.75,0.52
2025-12-31,3.87,4.06,4.29,3.79,1963914.57,4.1
2026-01-05,4.02,3.94,4.17,3.82,1796579.34,-2.96
2026-01-06,4.0,4.07,4.2,3.93,1083791.2,3.3
2026-01-07,4.07,4.05,4.14,4.0,769010.46,-0.49
2026-01-08,4.1,4.16,4.22,4.01,766735.6,2.72
2026-01-09,4.2,4.21,4.39,4.1,749640.19,1.2
2026-01-12,4.28,4.44,4.53,4.26,952922.69,5.46
2026-01-13,4.43,4.42,4.55,4.23,804549.3,-0.45
2026-01-14,4.42,4.24,4.48,4.18,866062.3,-4.07
2026-01-15,4.22,4.16,4.25,4.12,444001.1,-1.89
2026-01-16,4.12,4.48,4.56,4.02,940246.89,7.69
2026-01-19,4.43,4.71,4.82,4.3,1169695.16,5.13
2026-01-20,4.67,4.56,4.7,4.52,554432.46,-3.18
2026-01-21,4.52,4.68,4.74,4.5,434918.9,2.63
2026-01-22,4.67,4.42,4.67,4.34,763151.61,-5.56
2026-01-23,4.47,4.48,4.55,4.37,443382.78,1.36
2026-01-26,4.5,4.48,4.6,4.41,393521.2,0.0
2026-01-27,4.47,4.93,4.93,4.35,770923.46,10.04
2026-01-28,4.91,4.9,5.08,4.76,758983.18,-0.61
2026-01-29,4.89,4.76,4.92,4.76,458461.66,-2.86
2026-01-30,4.69,4.76,4.88,4.63,559549.67,0.0
2026-02-02,4.79,4.54,4.79,4.5,496249.12,-4.62
2026-02-03,4.6,4.51,4.62,4.38,391656.46,-0.66
2026-02-04,4.51,4.54,4.68,4.45,386482.3,0.67
2026-02-05,4.54,4.42,4.59,4.41,332474.1,-2.64
2026-02-06,4.42,4.42,4.52,4.35,266279.4,0.0
2026-02-09,4.48,4.41,4.49,4.39,268234.0,-0.23
2026-02-10,4.4,4.4,4.46,4.23,483607.92,-0.23
2026-02-11,4.44,4.84,4.84,4.37,1409326.77,10.0
2026-02-12,4.82,4.75,4.89,4.67,710671.5,-1.86
2026-02-13,4.78,4.66,4.8,4.63,412763.99,-1.89
