date,open,close,high,low,vol,pct_chg
2025-11-06,4.91,4.88,4.93,4.84,185894.0,-1.21
2025-11-07,4.86,4.93,4.96,4.85,188723.0,1.02
2025-11-10,4.93,5.02,5.02,4.88,239027.37,1.83
2025-11-11,5.02,4.99,5.07,4.96,187597.39,-0.6
2025-11-12,4.96,4.99,5.01,4.92,176076.65,0.0
2025-11-13,4.93,4.95,4.96,4.89,206640.63,-0.8
2025-11-14,4.95,4.89,4.99,4.87,203540.87,-1.21
2025-11-17,4.87,4.9,4.92,4.85,146850.91,0.2
2025-11-18,4.88,4.73,4.89,4.69,223721.0,-3.47
2025-11-19,4.73,4.62,4.76,4.58,177519.1,-2.33
2025-11-20,4.64,4.6,4.65,4.55,134051.0,-0.43
2025-11-21,4.58,4.45,4.62,4.44,223426.15,-3.26
2025-11-24,4.45,4.45,4.51,4.4,145403.0,0.0
2025-11-25,4.48,4.49,4.53,4.43,148526.0,0.9
2025-11-26,4.51,4.48,4.58,4.47,138958.43,-0.22
2025-11-27,4.5,4.51,4.55,4.46,107003.0,0.67
2025-11-28,4.5,4.56,4.56,4.46,102091.0,1.11
2025-12-01,4.56,4.59,4.61,4.56,135346.39,0.66
2025-12-02,4.58,4.6,4.64,4.53,145407.01,0.22
2025-12-03,4.59,4.59,4.64,4.56,111899.0,-0.22
2025-12-04,4.59,4.53,4.6,4.49,119835.15,-1.31
2025-12-05,4.32,4.23,4.39,4.08,818867.43,-6.62
2025-12-08,4.21,4.26,4.35,4.2,473337.0,0.71
2025-12-09,4.28,4.16,4.29,4.15,216358.63,-2.35
2025-12-10,4.16,4.19,4.23,4.12,174309.35,0.72
2025-12-11,4.16,4.05,4.18,4.04,212557.1,-3.34
2025-12-12,4.05,4.0,4.07,3.98,209980.91,-1.23
2025-12-15,3.97,4.02,4.05,3.92,147052.63,0.5
2025-12-16,4.01,3.96,4.04,3.95,139552.0,-1.49
2025-12-17,3.96,3.94,3.96,3.88,140860.43,-0.51
2025-12-18,3.91,3.9,3.94,3.87,204731.1,-1.02
2025-12-19,3.89,3.98,3.99,3.87,155629.4,2.05
2025-12-22,3.98,3.92,3.99,3.91,161261.41,-1.51
2025-12-23,3.91,3.8,3.92,3.78,222962.0,-3.06
2025-12-24,3.78,3.76,3.8,3.74,226229.97,-1.05
2025-12-25,3.72,3.72,3.79,3.7,260616.01,-1.06
2025-12-26,3.74,3.69,3.75,3.68,232455.0,-0.81
2025-12-29,3.63,3.51,3.64,3.48,399617.7,-4.88
2025-12-30,3.5,3.53,3.55,3.46,239130.0,0.57
2025-12-31,3.51,3.5,3.53,3.44,216691.37,-0.85
2026-01-05,3.53,3.55,3.56,3.5,174023.31,1.43
2026-01-06,3.55,3.63,3.67,3.53,247642.79,2.25
2026-01-07,3.63,3.6,3.65,3.59,175646.0,-0.83
2026-01-08,3.6,3.64,3.65,3.57,141109.01,1.11
2026-01-09,3.63,3.62,3.66,3.6,176029.72,-0.55
2026-01-12,3.62,3.69,3.7,3.61,223128.31,1.93
2026-01-13,3.69,3.67,3.74,3.65,239696.92,-0.54
2026-01-14,3.66,3.61,3.69,3.58,285937.0,-1.63
2026-01-15,3.6,3.61,3.62,3.56,167601.0,0.0
2026-01-16,3.61,3.54,3.63,3.53,155327.0,-1.94
2026-01-19,3.47,3.6,3.61,3.46,168077.93,1.69
2026-01-20,3.61,3.66,3.66,3.6,182482.0,1.67
2026-01-21,3.65,3.66,3.67,3.6,128688.77,0.0
2026-01-22,3.65,3.74,3.75,3.64,197131.06,2.19
2026-01-23,3.74,3.79,3.8,3.72,181103.89,1.34
2026-01-26,3.79,3.73,3.8,3.67,206758.0,-1.58
2026-01-27,3.73,3.67,3.73,3.6,174493.0,-1.61
2026-01-28,3.66,3.67,3.7,3.64,127214.0,0.0
2026-01-29,3.65,3.72,3.73,3.62,162148.48,1.36
2026-01-30,3.71,3.79,3.92,3.69,400442.56,1.88
2026-02-02,3.65,3.55,3.65,3.51,312720.83,-6.33
2026-02-03,3.57,3.59,3.61,3.52,144200.09,1.13
2026-02-04,3.59,3.7,3.7,3.57,176004.0,3.06
2026-02-05,3.69,3.66,3.71,3.64,138408.0,-1.08
2026-02-06,3.64,3.7,3.73,3.64,142500.0,1.09
2026-02-09,3.72,3.77,3.79,3.7,122844.57,1.89
2026-02-10,3.77,3.76,3.79,3.73,111984.0,-0.27
2026-02-11,3.75,3.74,3.78,3.73,98840.23,-0.53
2026-02-12,3.73,3.66,3.75,3.64,158014.02,-2.14
2026-02-13,3.65,3.67,3.76,3.63,177080.42,0.27
